"","Conf.true_lab","Conf.pred_lab","Conf.Freq","MedF1","F1","Acc","PercUnl","PopSize"
"1","acinar","acinar",192,0,0.143551401869159,0.029899556178463,0,958
"2","activated_stellate","acinar",57,0,0,0.029899556178463,0,284
"3","alpha","acinar",466,0,0,0.029899556178463,0,2326
"4","beta","acinar",505,0,0,0.029899556178463,0,2525
"5","delta","acinar",121,0,0,0.029899556178463,0,601
"6","ductal","acinar",216,0,0,0.029899556178463,0,1077
"7","endothelial","acinar",51,0,0.0518029456576943,0.029899556178463,0,252
"8","epsilon","acinar",4,0,0,0.029899556178463,0,18
"9","gamma","acinar",51,0,0,0.029899556178463,0,255
"10","macrophage","acinar",11,0,0,0.029899556178463,0,55
"11","mast","acinar",5,0,0.00582072176949942,0.029899556178463,0,25
"12","quiescent_stellate","acinar",35,0,0,0.029899556178463,0,173
"13","schwann","acinar",3,0,0.00346820809248555,0.029899556178463,0,13
"14","acinar","endothelial",192,0,0.143551401869159,0.029899556178463,0,958
"15","activated_stellate","endothelial",57,0,0,0.029899556178463,0,284
"16","alpha","endothelial",466,0,0,0.029899556178463,0,2326
"17","beta","endothelial",505,0,0,0.029899556178463,0,2525
"18","delta","endothelial",121,0,0,0.029899556178463,0,601
"19","ductal","endothelial",216,0,0,0.029899556178463,0,1077
"20","endothelial","endothelial",51,0,0.0518029456576943,0.029899556178463,0,252
"21","epsilon","endothelial",4,0,0,0.029899556178463,0,18
"22","gamma","endothelial",51,0,0,0.029899556178463,0,255
"23","macrophage","endothelial",11,0,0,0.029899556178463,0,55
"24","mast","endothelial",5,0,0.00582072176949942,0.029899556178463,0,25
"25","quiescent_stellate","endothelial",35,0,0,0.029899556178463,0,173
"26","schwann","endothelial",3,0,0.00346820809248555,0.029899556178463,0,13
"27","acinar","mast",382,0,0.143551401869159,0.029899556178463,0,958
"28","activated_stellate","mast",113,0,0,0.029899556178463,0,284
"29","alpha","mast",928,0,0,0.029899556178463,0,2326
"30","beta","mast",1010,0,0,0.029899556178463,0,2525
"31","delta","mast",238,0,0,0.029899556178463,0,601
"32","ductal","mast",429,0,0,0.029899556178463,0,1077
"33","endothelial","mast",99,0,0.0518029456576943,0.029899556178463,0,252
"34","epsilon","mast",6,0,0,0.029899556178463,0,18
"35","gamma","mast",102,0,0,0.029899556178463,0,255
"36","macrophage","mast",22,0,0,0.029899556178463,0,55
"37","mast","mast",10,0,0.00582072176949942,0.029899556178463,0,25
"38","quiescent_stellate","mast",68,0,0,0.029899556178463,0,173
"39","schwann","mast",4,0,0.00346820809248555,0.029899556178463,0,13
"40","acinar","schwann",192,0,0.143551401869159,0.029899556178463,0,958
"41","activated_stellate","schwann",57,0,0,0.029899556178463,0,284
"42","alpha","schwann",466,0,0,0.029899556178463,0,2326
"43","beta","schwann",505,0,0,0.029899556178463,0,2525
"44","delta","schwann",121,0,0,0.029899556178463,0,601
"45","ductal","schwann",216,0,0,0.029899556178463,0,1077
"46","endothelial","schwann",51,0,0.0518029456576943,0.029899556178463,0,252
"47","epsilon","schwann",4,0,0,0.029899556178463,0,18
"48","gamma","schwann",51,0,0,0.029899556178463,0,255
"49","macrophage","schwann",11,0,0,0.029899556178463,0,55
"50","mast","schwann",5,0,0.00582072176949942,0.029899556178463,0,25
"51","quiescent_stellate","schwann",35,0,0,0.029899556178463,0,173
"52","schwann","schwann",3,0,0.00346820809248555,0.029899556178463,0,13
