"","Conf.true_lab","Conf.pred_lab","Conf.Freq","MedF1","F1","Acc","PercUnl","PopSize"
"1","acinar","acinar",943,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"2","activated_stellate","acinar",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"3","alpha","acinar",1,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"4","beta","acinar",2,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"5","delta","acinar",2,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"6","ductal","acinar",3,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"7","endothelial","acinar",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"8","epsilon","acinar",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"9","gamma","acinar",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"10","macrophage","acinar",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"11","mast","acinar",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"12","quiescent_stellate","acinar",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"13","schwann","acinar",0,0.981818181818182,0.96,0.98621817332399,0,13
"14","acinar","activated_stellate",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"15","activated_stellate","activated_stellate",275,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"16","alpha","activated_stellate",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"17","beta","activated_stellate",0,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"18","delta","activated_stellate",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"19","ductal","activated_stellate",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"20","endothelial","activated_stellate",1,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"21","epsilon","activated_stellate",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"22","gamma","activated_stellate",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"23","macrophage","activated_stellate",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"24","mast","activated_stellate",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"25","quiescent_stellate","activated_stellate",5,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"26","schwann","activated_stellate",1,0.981818181818182,0.96,0.98621817332399,0,13
"27","acinar","alpha",1,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"28","activated_stellate","alpha",1,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"29","alpha","alpha",2316,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"30","beta","alpha",3,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"31","delta","alpha",1,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"32","ductal","alpha",3,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"33","endothelial","alpha",2,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"34","epsilon","alpha",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"35","gamma","alpha",3,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"36","macrophage","alpha",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"37","mast","alpha",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"38","quiescent_stellate","alpha",5,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"39","schwann","alpha",0,0.981818181818182,0.96,0.98621817332399,0,13
"40","acinar","beta",2,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"41","activated_stellate","beta",1,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"42","alpha","beta",6,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"43","beta","beta",2503,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"44","delta","beta",11,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"45","ductal","beta",7,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"46","endothelial","beta",5,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"47","epsilon","beta",1,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"48","gamma","beta",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"49","macrophage","beta",1,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"50","mast","beta",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"51","quiescent_stellate","beta",1,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"52","schwann","beta",0,0.981818181818182,0.96,0.98621817332399,0,13
"53","acinar","delta",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"54","activated_stellate","delta",1,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"55","alpha","delta",1,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"56","beta","delta",11,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"57","delta","delta",587,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"58","ductal","delta",2,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"59","endothelial","delta",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"60","epsilon","delta",3,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"61","gamma","delta",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"62","macrophage","delta",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"63","mast","delta",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"64","quiescent_stellate","delta",1,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"65","schwann","delta",0,0.981818181818182,0.96,0.98621817332399,0,13
"66","acinar","ductal",11,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"67","activated_stellate","ductal",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"68","alpha","ductal",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"69","beta","ductal",2,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"70","delta","ductal",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"71","ductal","ductal",1062,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"72","endothelial","ductal",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"73","epsilon","ductal",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"74","gamma","ductal",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"75","macrophage","ductal",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"76","mast","ductal",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"77","quiescent_stellate","ductal",2,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"78","schwann","ductal",0,0.981818181818182,0.96,0.98621817332399,0,13
"79","acinar","endothelial",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"80","activated_stellate","endothelial",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"81","alpha","endothelial",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"82","beta","endothelial",0,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"83","delta","endothelial",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"84","ductal","endothelial",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"85","endothelial","endothelial",243,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"86","epsilon","endothelial",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"87","gamma","endothelial",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"88","macrophage","endothelial",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"89","mast","endothelial",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"90","quiescent_stellate","endothelial",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"91","schwann","endothelial",0,0.981818181818182,0.96,0.98621817332399,0,13
"92","acinar","epsilon",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"93","activated_stellate","epsilon",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"94","alpha","epsilon",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"95","beta","epsilon",1,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"96","delta","epsilon",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"97","ductal","epsilon",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"98","endothelial","epsilon",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"99","epsilon","epsilon",14,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"100","gamma","epsilon",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"101","macrophage","epsilon",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"102","mast","epsilon",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"103","quiescent_stellate","epsilon",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"104","schwann","epsilon",0,0.981818181818182,0.96,0.98621817332399,0,13
"105","acinar","gamma",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"106","activated_stellate","gamma",1,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"107","alpha","gamma",2,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"108","beta","gamma",2,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"109","delta","gamma",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"110","ductal","gamma",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"111","endothelial","gamma",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"112","epsilon","gamma",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"113","gamma","gamma",252,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"114","macrophage","gamma",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"115","mast","gamma",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"116","quiescent_stellate","gamma",1,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"117","schwann","gamma",0,0.981818181818182,0.96,0.98621817332399,0,13
"118","acinar","macrophage",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"119","activated_stellate","macrophage",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"120","alpha","macrophage",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"121","beta","macrophage",0,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"122","delta","macrophage",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"123","ductal","macrophage",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"124","endothelial","macrophage",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"125","epsilon","macrophage",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"126","gamma","macrophage",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"127","macrophage","macrophage",54,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"128","mast","macrophage",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"129","quiescent_stellate","macrophage",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"130","schwann","macrophage",0,0.981818181818182,0.96,0.98621817332399,0,13
"131","acinar","mast",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"132","activated_stellate","mast",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"133","alpha","mast",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"134","beta","mast",1,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"135","delta","mast",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"136","ductal","mast",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"137","endothelial","mast",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"138","epsilon","mast",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
